SEXO,IDADE,REGIME,FACCAO,CARGO_FACCAO,UNIDADE
30,34,2403,,,105693
30,59,2403,,,105693
30,25,2403,,,639335
30,27,1647,,,960097
30,23,2403,,,960097
30,29,2402,,,250958
30,35,1647,,,250958
30,24,2402,,,657728
30,21,2403,,,657728
30,19,2403,,,495478
30,26,1647,,,559396
30,19,2403,,,495478
30,32,2407,,,584662
30,22,1647,,,639335
30,48,1650,,,994418
30,24,2403,,,746323
30,33,1646,,,250958
30,24,2403,,,105693
30,29,2403,,,250958
30,25,2405,,,584662
30,27,1646,,,212316
30,22,1650,,,322353
30,28,1647,,,250958
30,26,1647,,,820657
30,36,2402,,,250958
30,75,2405,,,584662
30,55,2407,,,584662
30,44,1645,,,868277
30,40,1647,,,962437
30,27,2403,,,591098
30,42,2401,,,559396
30,20,2403,,,704585
30,31,1646,,,621558
30,56,2403,,,975291
30,53,1646,,,577141
30,36,2403,,,137686
30,34,1647,,,960097
30,23,2403,,,495478
31,25,2405,,,584662
30,31,2410,,,250958
30,37,2403,,,746323
30,,2402,,,250958
30,34,1647,,,989300
30,34,1647,,,816503
30,40,2405,,,584662
30,26,2402,,,250958
30,25,2401,,,495478
30,30,2410,,,746323
30,28,1647,,,530032
30,35,2403,,,639335
30,21,1646,,,960097
30,31,2403,,,559396
30,19,1646,,,112971
30,43,1646,,,950252
30,33,1647,,,105693
30,28,1647,,,250958
30,60,2406,,,584662
30,31,1647,,,559396
30,27,1646,,,746323
30,19,2403,,,212316
30,33,1647,,,591098
30,25,2401,,,591098
30,26,1647,,,530032
30,24,2405,,,584662
30,34,1647,,,530032
30,,2403,,,307137
30,22,2407,,,584662
30,23,2403,,,657728
30,31,1646,,,591440
30,24,2401,,,212316
30,33,1647,,,105693
30,32,2403,,,112971
30,48,2402,,,105693
30,30,1646,,,746323
30,24,1647,,,190238
30,28,1646,,,112971
30,30,1647,,,975291
30,20,1646,,,530032
30,28,1650,,,960097
30,26,1647,,,657728
30,19,2403,,,639335
30,19,1646,,,495478
30,20,2401,,,190238
30,20,2403,,,495478
30,26,2403,,,960097
30,26,2401,,,250958
30,28,2402,,,190238
30,20,2403,,,190238
30,27,1647,,,975291
30,29,2403,,,994414
30,37,2403,,,994414
30,,1647,,,820657
30,38,2406,,,584662
30,19,2407,,,584662
30,19,2402,,,820657
30,20,1647,,,639335
30,26,1647,,,558029
30,39,1647,,,559396
30,26,1646,,,530032
30,25,2406,,,584662
,,1647,,,36233
30,39,2403,,,591098
30,35,2403,,,746323
30,38,2403,,,704585
30,28,1646,,,883316
30,39,2404,,,591098
31,24,1646,,,36233
30,42,2407,,,584662
30,20,1647,,,657728
30,31,1647,,,559396
30,27,2403,,,250958
30,58,1646,,,414074
30,41,1646,,,559396
30,26,1647,,,639335
30,28,1647,,,112971
30,30,1647,,,559396
30,31,1647,,,994414
30,48,2404,,,591098
30,19,2403,,,591098
30,44,2403,,,559396
30,36,2401,,,250958
30,24,2401,,,105693
30,33,1647,,,994414
30,24,2405,,,584662
30,31,1647,,,639335
30,21,1647,,,473393
30,28,2403,,,190238
30,55,2403,,,105693
30,31,1646,,,960097
30,33,2403,,,559396
30,61,1647,,,105693
30,21,2403,,,563930
30,38,1647,,,112971
30,22,1646,,,530032
30,45,2403,,,322353
30,26,1646,,,530032
30,26,2402,,,994414
30,28,2403,,,322353
30,45,1645,,,868277
30,24,1646,,,975291
30,30,2402,,,250958
30,34,1650,,,639335
31,34,2407,,,584662
30,20,2403,,,212316
30,19,2403,,,960097
30,27,1647,,,447403
30,24,1647,,,559396
30,25,2403,,,591098
30,40,2403,,,559396
30,20,1647,,,212316
30,24,2403,,,495478
30,21,1646,,,212316
30,29,1647,,,414074
30,27,2402,,,820657
30,30,1647,,,657728
30,28,1646,,,883316
30,27,1646,,,495478
30,33,1647,,,559396
